,Q1,Q2,Q3,Q4,Q5,Q6,Living,Trans,Hobby,Food,Clothes,Phonebill,Insurance,Others,,
,,,,,,,,,,,,,,,,
1,Female,Kor,8,1,550,Family,5,13,5,50,5,17,0,5,,Q3; Number of countries visited
2,Male,Kor,2,2,450,Work,0,13,19,38,6,11,13,0,,Q4; How many times do you watch a movie during a month
3,Male,Kor,1,1,350,Work,0,17,0,57,14,12,0,0,,Q5; How much income
4,Male,Kor,1,1,450,Family,30,10,10,40,0,10,0,0,,Q6; How do you get your income
5,Male,Int,4,1,750,Family,19,4,16,40,3,3,0,15,,
6,Male,Kor,5,1,350,Family,0,17,14,57,0,0,0,12,,
7,Male,Kor,0,2,50,Family,10,20,5,40,5,20,0,0,,
8,Male,Int,20,1,750,Both,0,20,20,30,5,10,10,5,,
9,Male,Int,13,1,801,Both,20,15,10,10,10,15,15,5,,
10,Male,Int,30,0,50,Both,0,10,25,30,5,0,5,25,,
11,Male,Kor,3,0,801,Both,15,3,0,10,0,5,0,67,,
12,Male,Kor,5,2,450,Family,50,10,10,25,5,0,0,0,,
13,Male,Kor,3,3,350,Family,13,6,13,34,34,0,0,0,,
14,Female,Kor,10,2,650,Family,40,5,5,40,0,10,0,0,,
15,Male,Kor,5,5,750,Work,20,5,10,25,20,20,0,0,,
16,Female,Kor,4,3,350,Family,10,15,20,35,20,0,0,0,,
17,Female,Kor,14,4,650,Both,10,10,20,20,30,10,0,0,,
18,Female,Kor,13,1,350,Work,0,10,20,50,20,0,0,0,,
19,Female,Kor,6,2,550,Family,0,17,17,42,17,0,0,7,,
20,Male,Kor,37,0,50,Both,20,10,10,50,10,0,0,0,,
21,Female,Int,6,1,550,Both,33,17,0,0,17,0,33,0,,
22,Female,Kor,4,1,801,Work,32,5,3,40,5,10,5,2,,
23,Male,Kor,25,3,801,Work,0,15,35,25,8,17,0,0,,
24,Male,Kor,0,1,250,Both,0,30,20,50,0,0,0,0,,
25,Male,Int,4,0,750,Work,5,5,25,30,5,10,0,20,,
26,Female,Kor,6,0,350,Family,2,20,3,70,5,0,0,0,,
27,Male,Kor,2,3,801,Family,11,34,22,22,11,0,0,0,,
28,Female,Int,2,3,450,Family,20,0,10,30,15,0,0,25,,
29,Male,Kor,6,4,550,Work,30,15,20,20,10,5,0,0,,
30,Female,Kor,4,2,350,Family,2,1,2,90,5,0,0,0,,
31,Male,Kor,3,2,801,Family,35,10,15,30,5,5,0,0,,
32,Female,Kor,8,1,801,Both,10,11,33,11,6,0,0,29,,
33,Male,Kor,3,3,350,Family,38,6,0,51,0,5,0,0,,
34,Male,Int,19,1,750,Both,0,6,16,16,33,16,13,0,,
35,Male,Kor,3,2,550,Both,10,30,10,30,10,0,0,10,,
36,Male,Kor,2,2,450,Family,40,20,20,20,0,0,0,0,,
37,Male,Kor,1,1,450,Family,15,25,0,50,10,0,0,0,,
38,Male,Kor,3,3,350,Family,20,20,10,30,5,10,5,0,,
39,Male,Kor,4,3,350,Family,45,15,20,20,0,0,0,0,,
40,Male,Kor,5,6,650,Both,40,10,5,30,5,10,0,0,,
41,Male,Int,10,1,50,Family,10,0,10,50,30,0,0,0,,
42,Female,Kor,8,3,350,Work,10,30,10,30,10,10,0,0,,
43,Male,Kor,12,4,801,Both,25,10,20,20,5,0,0,20,,
44,Male,Int,2,1,350,Work,20,5,10,35,10,5,0,15,,
45,Male,Int,4,1,350,Work,15,5,15,15,10,5,5,30,,
46,Male,Kor,15,7,801,Work,10,5,25,50,10,0,0,0,,
47,Male,Kor,2,3,450,Family,25,2,15,30,10,8,0,10,,
48,Male,Kor,1,1,450,Work,30,15,10,30,5,10,0,0,,
49,Male,Kor,3,1,250,Family,60,10,0,20,0,10,0,0,,
50,Male,Kor,7,4,350,Family,10,26,26,26,0,12,0,0,,
51,Male,Kor,5,1,450,Family,10,20,4,40,10,16,0,0,,
52,Male,Kor,11,3,750,Both,10,10,20,40,20,0,0,0,,
53,Male,Kor,3,1,250,Work,0,11,0,46,0,21,0,22,,
54,Female,Kor,0,2,801,Family,19,6,0,50,19,6,0,0,,
55,Female,Kor,10,1,801,Both,25,0,25,25,25,0,0,0,,
56,Female,Kor,9,4,450,Both,22,32,1,43,1,0,0,1,,
57,Male,Kor,10,4,50,Both,20,10,10,40,10,5,5,0,,
